模型,句1词牌,句1题目,句1内容,句2词牌,句2题目,句2内容,语义相似度,字面相似度,差值(伪原创指数)
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,玄峰议事后感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁感怀,万仞仙峰,沁园春,宗阁有所思,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁感怀,万仞仙峰,沁园春,凌霄阁夜坐抒怀,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁感怀,云锁丹台,沁园春,宗门夜坐感事,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁感怀,云锁丹台,沁园春,云阁夜思,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,清平乐,凌霄阁夜坐有感,争奈诸公守旧,清平乐,宗门夜坐抒怀,争奈诸公守旧,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁感怀,云锁丹台,沁园春,宗门感怀,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,祝英台近,云阁夜坐感事,束发诸生,祝英台近,宗门夜坐感事,束发诸生,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,万仞仙峰,沁园春,宗阁有所思,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,万仞仙峰,沁园春,凌霄阁夜坐抒怀,万仞仙峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁感怀,全凭纲纪,沁园春,宗门感事,全凭纲纪,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,祝英台近,宗门夜坐感怀,黯凝伫,祝英台近,宗阁夜望感怀,黯凝伫,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,晨挥剑影,沁园春,宗门感怀,晨挥剑影,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,晨挥剑影,沁园春,凌霄阁夜坐抒怀,晨挥剑影,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,晨挥剑影,沁园春,宗门感怀,晨挥剑影,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,晨挥剑影,沁园春,宗门感怀,晨挥剑影,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,晨挥剑影,沁园春,凌霄阁夜坐抒怀,晨挥剑影,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁抒怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,鹤绕松阶,沁园春,宗门议规有感,鹤绕松阶,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,凭谁问,沁园春,宗门感事,凭谁问,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,云锁丹台,沁园春,云阁夜思,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐感事,云锁丹台,沁园春,宗门感怀,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗阁夜怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰夜坐抒怀,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗阁夜望有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,清平乐,宗规感怀,偏逢众论难平,清平乐,宗阁夜思,偏逢众论难平,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,宗门夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,玄峰议事后感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,云阁夜思,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,宗门夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,全凭纲纪,沁园春,宗门感事,全凭纲纪,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,风敲佩,沁园春,宗门感事,风敲佩,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,凌霄宗议事书怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜思,抬眸处,沁园春,宗门感事,抬眸处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,玄峰议事后感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜思,抬眸处,沁园春,玄峰议事后感,抬眸处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凝眸处,沁园春,凌霄阁感怀,凝眸处,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰夜坐抒怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,此意徘徊,沁园春,宗门晚眺抒怀,此意徘徊,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,云锁丹台,沁园春,宗门感怀,云锁丹台,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,云护丹梯,沁园春,宗门夜坐抒怀,云护丹梯,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,祝英台近,云台夜思,意难伫,祝英台近,宗门夜思,意难伫,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,凭谁问,沁园春,凌霄阁夜坐有感,凭谁问,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜思,见阶前弟子,沁园春,凌霄阁感怀,见阶前弟子,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门晚眺抒怀,云锁层峰,沁园春,登望云峰有感,云锁层峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,观门下演武有感,安得两全无两误,浪淘沙,松寮夜坐抒怀,安得两全无两误,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,千叠云涛,沁园春,宗阁有所思,千叠云涛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,未许腾骞,沁园春,玄峰议事后感,未许腾骞,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,云锁层峰,沁园春,宗阁抒怀,云锁层峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,云阁夜坐抒怀,众论相难,浪淘沙,宗门感怀,众论相难,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云门感怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,凌霄宗感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,云阁夜思,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,凌霄宗议事书怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,玄峰议事后感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭谁问,沁园春,宗门感事,凭谁问,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜怀,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,千叠云涛,沁园春,登凌霄阁有感,千叠云涛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,千叠云涛,沁园春,宗阁有所思,千叠云涛,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,浪淘沙,宗门夜坐感怀,此意难安,浪淘沙,宗门夜望有感,此意难安,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰夜坐抒怀,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,凌霄宗感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,云阁夜思,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,凌霄宗议事书怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,玄峰议事后感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,玄峰夜坐抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰夜坐抒怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门述怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,演武台述怀,低徊久,沁园春,宗门夜坐抒怀,低徊久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,演武台述怀,低徊久,沁园春,宗门述怀,低徊久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,凭谁问,沁园春,凌霄阁夜坐有感,凭谁问,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,云门感怀,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门述怀,严规束步,沁园春,凌霄峰感事,严规束步,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,凭谁问,沁园春,宗门感怀,凭谁问,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门述怀,叹诸公守旧,沁园春,宗门述怀,叹诸公守旧,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰夜坐抒怀,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,云锁层峰,沁园春,登望云峰有感,云锁层峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,鹤唳松梢,沁园春,宗门抒怀,鹤唳松梢,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,祝英台近,云崖有感,锁云关,祝英台近,宗门夜坐偶成,锁云关,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗感事,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,凌霄宗议事书怀,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门晚眺抒怀,云锁层峰,沁园春,登云阁望剑坪有感,云锁层峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门晚眺抒怀,云锁层峰,沁园春,宗阁抒怀,云锁层峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗阁抒怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰夜坐抒怀,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,登望云峰有感,云锁层峰,沁园春,宗阁抒怀,云锁层峰,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭谁问,沁园春,凌霄阁夜坐有感,凭谁问,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,云门感怀,待衡权利弊,沁园春,凌霄峰感事,待衡权利弊,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,灵思困缚,沁园春,凌霄阁夜坐抒怀,灵思困缚,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,祝英台近,观宗门弟子修习感怀,剑痕凝,祝英台近,凌霄阁夜坐有感,剑痕凝,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐书怀,终须决,沁园春,宗门晚眺抒怀,终须决,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐书怀,终须决,沁园春,宗阁有所思,终须决,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,祝英台近,云台夜思,篆烟消,祝英台近,云阁夜坐有感,篆烟消,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,云门感怀,鹤唳松间,浪淘沙,云阁观弟子演武有怀,鹤唳松间,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,祝英台近,玄峰阁晚望有感,露侵阶,祝英台近,云阁夜阅门规有怀,露侵阶,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,廊间童子,沁园春,宗门感怀,廊间童子,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,祝英台近,云阁夜坐有感,篆烟消,祝英台近,宗门夜坐感怀,篆烟消,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,清平乐,宗门夜坐感怀,也知法峻功崇,清平乐,宗门夜坐抒怀,也知法峻功崇,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐抒怀,低徊久,沁园春,宗门述怀,低徊久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门晚眺抒怀,终须决,沁园春,宗阁有所思,终须决,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗阁夜望有感,终须改,沁园春,登观星台述怀,终须改,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,清平乐,宗门感怀,争奈诸公持旧,清平乐,云台夜思,争奈诸公持旧,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,清平乐,云台夜思,争奈诸公持旧,清平乐,宗门夜坐抒怀,争奈诸公持旧,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,凝眸久,沁园春,宗门夜坐感怀,凝眸久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,登凌霄阁有感,凝眸久,沁园春,宗门感事,凝眸久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门述怀,怕英才磨尽,沁园春,宗阁抒怀,怕英才磨尽,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,凌霄阁感怀,看青衿列队,沁园春,宗门议规有感,看青衿列队,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,登云阁望剑坪有感,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感怀,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,登云阁望剑坪有感,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,宗门感事,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感怀,凭栏久,沁园春,云门感怀,凭栏久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,凝眸久,沁园春,登凌霄阁有感,凝眸久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,清平乐,宗门感怀,争奈诸公持旧,清平乐,宗门夜坐抒怀,争奈诸公持旧,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门感事,凝眸久,沁园春,宗门夜坐感怀,凝眸久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,玄峰议事后感,晨操剑影,沁园春,凌霄阁夜坐有感,晨操剑影,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,欲破樊笼,祝英台近,宗门夜坐感怀,欲破樊笼,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,玄门感怀,欲破樊笼,沁园春,玄宗夜坐书怀,欲破樊笼,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,祝英台近,云台夜思,篆烟消,祝英台近,宗门夜坐感怀,篆烟消,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,凝眸久,沁园春,宗门感事,凝眸久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,欲破樊笼,沁园春,宗门感怀,欲破樊笼,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,欲破樊笼,沁园春,云阁夜思,欲破樊笼,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,欲破樊笼,祝英台近,凌霄阁夜坐有感,欲破樊笼,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,玄宗夜坐书怀,欲破樊笼,祝英台近,宗门夜坐感怀,欲破樊笼,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,登观星台述怀,凝眸久,沁园春,宗门夜坐感怀,凝眸久,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,玄峰夜坐抒怀,欲删繁就简,沁园春,望宗门演武有怀,欲删繁就简,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,宗门夜坐书怀,雾绕丹台,沁园春,宗门感怀,雾绕丹台,1.0000,1.0000,-0.0000
doubao-seed-2.0-pro,沁园春,云阁夜思,欲破樊笼,祝英台近,凌霄阁夜坐有感,欲破樊笼,1.0000,1.0000,-0.0000
